;date;time;weekday;pedestrians count;temperature in ºc;weather condition;holiday;school holiday;months;hour
0;2018-05-01;00:00:00;Tuesday;0;8.0;partly-cloudy-night;1;0;05;00
1;2018-05-01;01:00:00;Tuesday;0;7.0;partly-cloudy-night;1;0;05;01
2;2018-05-01;02:00:00;Tuesday;146;7.0;partly-cloudy-night;1;0;05;02
3;2018-05-01;03:00:00;Tuesday;125;7.0;partly-cloudy-night;1;0;05;03
4;2018-05-01;04:00:00;Tuesday;84;6.0;partly-cloudy-night;1;0;05;04
5;2018-05-01;05:00:00;Tuesday;102;6.0;partly-cloudy-night;1;0;05;05
6;2018-05-01;06:00:00;Tuesday;68;6.0;partly-cloudy-night;1;0;05;06
7;2018-05-01;07:00:00;Tuesday;55;6.0;partly-cloudy-day;1;0;05;07
8;2018-05-01;08:00:00;Tuesday;108;7.0;partly-cloudy-day;1;0;05;08
9;2018-05-01;09:00:00;Tuesday;253;7.0;partly-cloudy-day;1;0;05;09
10;2018-05-01;10:00:00;Tuesday;547;8.0;partly-cloudy-day;1;0;05;10
11;2018-05-01;11:00:00;Tuesday;963;10.0;partly-cloudy-day;1;0;05;11
12;2018-05-01;12:00:00;Tuesday;4318;11.0;partly-cloudy-day;1;0;05;12
13;2018-05-01;13:00:00;Tuesday;2001;12.0;partly-cloudy-day;1;0;05;13
14;2018-05-01;14:00:00;Tuesday;2039;12.0;partly-cloudy-day;1;0;05;14
15;2018-05-01;15:00:00;Tuesday;2472;13.0;partly-cloudy-day;1;0;05;15
16;2018-05-01;16:00:00;Tuesday;2628;13.0;partly-cloudy-day;1;0;05;16
17;2018-05-01;17:00:00;Tuesday;2279;13.0;partly-cloudy-day;1;0;05;17
18;2018-05-01;18:00:00;Tuesday;1765;13.0;partly-cloudy-day;1;0;05;18
19;2018-05-01;19:00:00;Tuesday;1433;13.0;partly-cloudy-day;1;0;05;19
20;2018-05-01;20:00:00;Tuesday;906;12.0;partly-cloudy-day;1;0;05;20
21;2018-05-01;21:00:00;Tuesday;418;11.0;partly-cloudy-night;1;0;05;21
22;2018-05-01;22:00:00;Tuesday;214;9.0;partly-cloudy-night;1;0;05;22
23;2018-05-01;23:00:00;Tuesday;167;8.0;partly-cloudy-night;1;0;05;23
24;2018-05-02;00:00:00;Wednesday;57;7.0;partly-cloudy-night;0;0;05;00
25;2018-05-02;01:00:00;Wednesday;24;6.0;partly-cloudy-night;0;0;05;01
26;2018-05-02;02:00:00;Wednesday;21;5.0;partly-cloudy-night;0;0;05;02
27;2018-05-02;03:00:00;Wednesday;12;5.0;partly-cloudy-night;0;0;05;03
28;2018-05-02;04:00:00;Wednesday;12;4.0;partly-cloudy-night;0;0;05;04
29;2018-05-02;05:00:00;Wednesday;43;4.0;partly-cloudy-night;0;0;05;05
30;2018-05-02;06:00:00;Wednesday;336;3.0;partly-cloudy-night;0;0;05;06
31;2018-05-02;07:00:00;Wednesday;754;3.0;partly-cloudy-day;0;0;05;07
32;2018-05-02;08:00:00;Wednesday;1256;6.0;partly-cloudy-day;0;0;05;08
33;2018-05-02;09:00:00;Wednesday;1918;8.0;partly-cloudy-day;0;0;05;09
34;2018-05-02;10:00:00;Wednesday;3538;11.0;partly-cloudy-day;0;0;05;10
35;2018-05-02;11:00:00;Wednesday;5266;13.0;partly-cloudy-day;0;0;05;11
36;2018-05-02;12:00:00;Wednesday;6677;15.0;partly-cloudy-day;0;0;05;12
37;2018-05-02;13:00:00;Wednesday;7484;16.0;partly-cloudy-day;0;0;05;13
38;2018-05-02;14:00:00;Wednesday;7602;17.0;partly-cloudy-day;0;0;05;14
39;2018-05-02;15:00:00;Wednesday;7532;17.0;partly-cloudy-day;0;0;05;15
40;2018-05-02;16:00:00;Wednesday;7947;18.0;partly-cloudy-day;0;0;05;16
41;2018-05-02;17:00:00;Wednesday;7961;18.0;partly-cloudy-day;0;0;05;17
42;2018-05-02;18:00:00;Wednesday;7339;18.0;partly-cloudy-day;0;0;05;18
43;2018-05-02;19:00:00;Wednesday;5519;17.0;partly-cloudy-day;0;0;05;19
44;2018-05-02;20:00:00;Wednesday;2143;16.0;partly-cloudy-day;0;0;05;20
45;2018-05-02;21:00:00;Wednesday;800;15.0;partly-cloudy-night;0;0;05;21
46;2018-05-02;22:00:00;Wednesday;427;13.0;partly-cloudy-night;0;0;05;22
47;2018-05-02;23:00:00;Wednesday;230;12.0;partly-cloudy-night;0;0;05;23
