date;name
2018-01-01;Neujahr
2018-03-30;Karfreitag
2018-04-01;Ostern
2018-04-02;Ostermontag
2018-05-01;Tag der Arbeit
2018-05-10;Christi Himmelfahrt
2018-05-21;Pfingstmontag
2018-05-31;Fronleichnam
2018-10-03;Tag der Deutschen Einheit
2018-11-01;Allerheiligen
2018-12-25;Weihnachten
2018-12-26;2. Weihnachtsfeiertag
2019-01-01;Neujahr
2019-04-19;Karfreitag
2019-04-21;Ostern
2019-04-22;Ostermontag
2019-05-01;Tag der Arbeit
2019-05-30;Christi Himmelfahrt
2019-06-10;Pfingstmontag
2019-06-20;Fronleichnam
2019-10-03;Tag der Deutschen Einheit
2019-11-01;Allerheiligen
2019-12-25;Weihnachten
2019-12-26;2. Weihnachtsfeiertag
2020-01-01;Neujahr
