location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Schildergasse (West), Köln;2018-05-01 00:00:00 +0200;Tuesday;0;8;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-01 01:00:00 +0200;Tuesday;0;7;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-01 02:00:00 +0200;Tuesday;146;7;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-01 03:00:00 +0200;Tuesday;125;7;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-01 04:00:00 +0200;Tuesday;84;6;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-01 05:00:00 +0200;Tuesday;102;6;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-01 06:00:00 +0200;Tuesday;68;6;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-01 07:00:00 +0200;Tuesday;55;6;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 08:00:00 +0200;Tuesday;108;7;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 09:00:00 +0200;Tuesday;253;7;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 10:00:00 +0200;Tuesday;547;8;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 11:00:00 +0200;Tuesday;963;10;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 12:00:00 +0200;Tuesday;4318;11;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 13:00:00 +0200;Tuesday;2001;12;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 14:00:00 +0200;Tuesday;2039;12;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 15:00:00 +0200;Tuesday;2472;13;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 16:00:00 +0200;Tuesday;2628;13;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 17:00:00 +0200;Tuesday;2279;13;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 18:00:00 +0200;Tuesday;1765;13;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 19:00:00 +0200;Tuesday;1433;13;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 20:00:00 +0200;Tuesday;906;12;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-01 21:00:00 +0200;Tuesday;418;11;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-01 22:00:00 +0200;Tuesday;214;9;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-01 23:00:00 +0200;Tuesday;167;8;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-02 00:00:00 +0200;Wednesday;57;7;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-02 01:00:00 +0200;Wednesday;24;6;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-02 02:00:00 +0200;Wednesday;21;5;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-02 03:00:00 +0200;Wednesday;12;5;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-02 04:00:00 +0200;Wednesday;12;4;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-02 05:00:00 +0200;Wednesday;43;4;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-02 06:00:00 +0200;Wednesday;336;3;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-02 07:00:00 +0200;Wednesday;754;3;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 08:00:00 +0200;Wednesday;1256;6;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 09:00:00 +0200;Wednesday;1918;8;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 10:00:00 +0200;Wednesday;3538;11;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 11:00:00 +0200;Wednesday;5266;13;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 12:00:00 +0200;Wednesday;6677;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 13:00:00 +0200;Wednesday;7484;16;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 14:00:00 +0200;Wednesday;7602;17;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 15:00:00 +0200;Wednesday;7532;17;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 16:00:00 +0200;Wednesday;7947;18;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 17:00:00 +0200;Wednesday;7961;18;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 18:00:00 +0200;Wednesday;7339;18;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 19:00:00 +0200;Wednesday;5519;17;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 20:00:00 +0200;Wednesday;2143;16;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-02 21:00:00 +0200;Wednesday;800;15;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-02 22:00:00 +0200;Wednesday;427;13;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-02 23:00:00 +0200;Wednesday;230;12;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-03 00:00:00 +0200;Thursday;87;12;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-03 01:00:00 +0200;Thursday;32;11;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-03 02:00:00 +0200;Thursday;42;10;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-03 03:00:00 +0200;Thursday;31;10;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-03 04:00:00 +0200;Thursday;65;9;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-03 05:00:00 +0200;Thursday;69;10;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-03 06:00:00 +0200;Thursday;265;10;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-03 07:00:00 +0200;Thursday;712;10;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 08:00:00 +0200;Thursday;1469;10;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 09:00:00 +0200;Thursday;2260;11;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 10:00:00 +0200;Thursday;3830;12;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 11:00:00 +0200;Thursday;5612;13;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 12:00:00 +0200;Thursday;7046;14;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 13:00:00 +0200;Thursday;7658;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 14:00:00 +0200;Thursday;7057;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 15:00:00 +0200;Thursday;7564;16;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 16:00:00 +0200;Thursday;7744;16;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 17:00:00 +0200;Thursday;8126;17;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 18:00:00 +0200;Thursday;7735;16;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 19:00:00 +0200;Thursday;5693;16;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 20:00:00 +0200;Thursday;2605;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-03 21:00:00 +0200;Thursday;1014;13;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-03 22:00:00 +0200;Thursday;574;12;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-03 23:00:00 +0200;Thursday;379;10;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-04 00:00:00 +0200;Friday;104;9;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-04 01:00:00 +0200;Friday;28;8;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-04 02:00:00 +0200;Friday;21;7;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-04 03:00:00 +0200;Friday;18;6;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-04 04:00:00 +0200;Friday;23;5;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-04 05:00:00 +0200;Friday;46;5;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-04 06:00:00 +0200;Friday;242;4;clear-night;
Schildergasse (West), Köln;2018-05-04 07:00:00 +0200;Friday;511;5;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 08:00:00 +0200;Friday;1044;7;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 09:00:00 +0200;Friday;2202;10;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 10:00:00 +0200;Friday;3795;13;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 11:00:00 +0200;Friday;5366;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 12:00:00 +0200;Friday;6672;17;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 13:00:00 +0200;Friday;7717;18;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 14:00:00 +0200;Friday;7996;19;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 15:00:00 +0200;Friday;8760;20;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 16:00:00 +0200;Friday;9378;20;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 17:00:00 +0200;Friday;9219;20;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-04 18:00:00 +0200;Friday;8987;20;clear-day;
Schildergasse (West), Köln;2018-05-04 19:00:00 +0200;Friday;7161;20;clear-day;
Schildergasse (West), Köln;2018-05-04 20:00:00 +0200;Friday;3692;19;clear-day;
Schildergasse (West), Köln;2018-05-04 21:00:00 +0200;Friday;1596;17;clear-night;
Schildergasse (West), Köln;2018-05-04 22:00:00 +0200;Friday;943;15;clear-night;
Schildergasse (West), Köln;2018-05-04 23:00:00 +0200;Friday;630;14;clear-night;
Schildergasse (West), Köln;2018-05-05 00:00:00 +0200;Saturday;379;13;clear-night;
Schildergasse (West), Köln;2018-05-05 01:00:00 +0200;Saturday;201;11;clear-night;
Schildergasse (West), Köln;2018-05-05 02:00:00 +0200;Saturday;125;10;clear-night;
Schildergasse (West), Köln;2018-05-05 03:00:00 +0200;Saturday;93;9;clear-night;
Schildergasse (West), Köln;2018-05-05 04:00:00 +0200;Saturday;46;8;clear-night;
Schildergasse (West), Köln;2018-05-05 05:00:00 +0200;Saturday;64;7;clear-night;
Schildergasse (West), Köln;2018-05-05 06:00:00 +0200;Saturday;603;7;clear-night;
Schildergasse (West), Köln;2018-05-05 07:00:00 +0200;Saturday;225;7;clear-day;
Schildergasse (West), Köln;2018-05-05 08:00:00 +0200;Saturday;448;9;clear-day;
