Ferien;Erster Ferientag;Letzter Ferientag
Sommer;2022-06-27;2022-08-09
Herbst;2022-10-04;2022-10-15
Weihnachten;2022-12-23;2023-01-06
Ostern;2023-04-03;2023-04-15
Pfingsten;2023-05-30;2023-05-30
Sommer;2023-06-22;2023-08-04
Herbst;2023-10-02;2023-10-14
Weihnachten;2023-12-21;2024-01-05
Ostern;2024-03-25;2024-04-06
Pfingsten;2024-05-21;2024-05-21
Sommer;2024-07-08;2024-08-20
Herbst;2022-10-14;2022-10-26
Weihnachten;2022-12-23;2025-01-06
Ostern;2025-04-14;2025-04-26
Pfingsten;2025-06-10;2025-06-10
Sommer;2025-07-14;2025-08-26
Herbst;2025-10-13;2025-10-25
Weihnachten;2025-12-22;2026-01-06
Ostern;2026-03-30;2026-04-11
Pfingsten;2022-05-26;2022-05-26
Sommer;2026-07-20;2026-09-01
Herbst;2026-10-17;2026-10-31
Weihnachten;2026-12-23;2027-01-06
Ostern;2027-03-22;2027-04-03
Pfingsten;2027-05-18;2027-05-18
Sommer;2027-07-19;2027-08-31
Herbst;2027-10-23;2027-11-06
Weihnachten;2027-12-24;2028-01-08
Ostern;2028-04-10;2028-04-22
Sommer;2028-07-10;2028-08-22
Herbst;2028-10-23;2028-11-04
Weihnachten;2028-12-21;2029-01-05
Ostern;2029-03-26;2029-04-07
Pfingsten;2029-05-22;2029-05-22
Sommer;2029-07-02;2029-08-14
Herbst;2029-10-15;2029-10-27
Weihnachten;2029-12-20;2030-01-04
Ostern;2030-04-15;2030-04-27
