Ferien;Erster Ferientag;Letzter Ferientag
Sommer;Montag, 27. Juni 2022;Dienstag, 9. August 2022
Herbst;Dienstag, 4. Oktober 2022;Samstag, 15. Oktober 2022
Weihnachten;Freitag, 23. Dezember 2022;Freitag, 6. Januar 2023
Ostern;Montag, 3. April 2023;Samstag, 15. April 2023
Pfingsten;Dienstag, 30. Mai 2023;Dienstag, 30. Mai 2023
Sommer;Donnerstag, 22. Juni 2023;Freitag, 4. August 2023
Herbst;Montag, 2. Oktober 2023;Samstag, 14. Oktober 2023
Weihnachten;Donnerstag, 21. Dezember 2023;Freitag, 5. Januar 2024
Ostern;Montag, 25. Maerz 2024;Samstag, 6. April 2024
Pfingsten;Dienstag, 21. Mai 2024;Dienstag, 21. Mai 2024
Sommer;Montag, 8. Juli 2024;Dienstag, 20. August 2024
Herbst;Montag, 14. Oktober;Samstag, 26. Oktober
Weihnachten;Montag, 23. Dezember;Montag, 6. Januar 2025
Ostern;Montag, 14. April 2025;Samstag, 26. April 2025
Pfingsten;Dienstag 10. Juni 2025;Dienstag 10. Juni 2025
Sommer;Montag, 14. Juli 2025;Dienstag, 26. August 2025
Herbst;Montag, 13. Oktober 2025;Samstag, 25. Oktober 2025
Weihnachten;Montag, 22. Dezember 2025;Dienstag, 06. Januar 2026
Ostern;Montag, 30. Maerz 2026;Samstag, 11. April 2026
Pfingsten;Dienstag, 26. Mai;Dienstag, 26. Mai
Sommer;Montag, 20. Juli 2026;Dienstag, 1. September 2026
Herbst;Samstag, 17. Oktober 2026;Samstag, 31. Oktober 2026
Weihnachten;Mittwoch, 23. Dezember 2026;Mittwoch, 6. Januar 2027
Ostern;Montag, 22. Maerz 2027;Samstag, 3. April 2027
Pfingsten;Dienstag 18. Mai 2027;Dienstag 18. Mai 2027
Sommer;Montag, 19. Juli 2027;Dienstag, 31. August 2027
Herbst;Samstag, 23. Oktober 2027;Samstag, 6. November 2027
Weihnachten;Freitag 24. Dezember 2027;Samstag, 8. Januar 2028
Ostern;Montag, 10. April 2028;Samstag, 22. April 2028
Sommer;Montag, 10. Juli 2028;Dienstag, 22. August 2028
Herbst;Montag, 23. Oktober 2028;Samstag, 4. November 2028
Weihnachten;Donnerstag, 21. Dezember 2028;Freitag, 5. Januar 2029
Ostern;Montag, 26. Maerz 2029;Samstag, 7. April 2029
Pfingsten;Dienstag, 22. Mai 2029;Dienstag, 22. Mai 2029
Sommer;Montag, 2. Juli 2029;Dienstag, 14. August 2029
Herbst;Montag, 15. Oktober 2029;Samstag, 27. Oktober 2029
Weihnachten;Donnerstag, 20. Dezember 2029;Freitag, 4. Januar 2030
Ostern;Montag, 15. April 2030;Samstag, 27. April 2030
