Model;Scenario;MAE_train;MAE_test;R2_train;R2_test
MLP Regressor;Base Scenario;346.9647017;458.8047903;0.965149806;0.940915204
MLP Regressor Subset;Base Scenario;164.7273632;943.7990614;0.991575284;0.812095481
MLP Regressor Subset;RandomSearch;422.8994682;816.585346;0.958998866;0.835115131
MLP Regressor Subset;GridSearch;157.1275396;939.9643463;0.993649666;0.816642763
MLP Regressor;GridSearch;304.1984278;441.3895936;0.970654704;0.932542572
MLP Regressor;Partly optimisation;415.7455677;425.2010805;0.939839756;0.940927636
Random Forest;Base Scenario;148.5976665;339.997802;0.988606794;0.942854743
Random Forest Subset;Base Scenario;196.4440049;571.1995751;0.984530019;0.897685078
Random Forest Subset;RandomSearch;238.349159;588.1546071;0.972959998;0.890751033
Random Forest Subset;GridSearch;238.349159;588.1546071;0.972959998;0.890751033
Random Forest;GridSearch;148.2527107;338.585548;0.98892212;0.944298246
Random Forest;Partly optimisation;148.6027265;338.1886025;0.988922558;0.944472338
LGBM;Base Scenario Python API;165.1747061;355.308144;0.99002014;0.946843372
LGBM;Base Scenario LGBMRegressor;297.2775686;367.7256976;0.970814821;0.947668564
LGBM Subset;Base Scenario Python API;10.30036911;653.6678842;0.999873867;0.887619683
LGBM Subset;Base Scenario LGBMRegressor;150.0632601;657.2439604;0.992392049;0.884344939
LGBM Subset;RandomSearch Python API;40.82964656;638.8609381;0.999354723;0.893033534
LGBM Subset;RandomSearch LGBMRegressor;250.9594171;645.0208226;0.975273251;0.882205966
LGBM Subset;GridSearch Python API;30.74150262;627.3513231;0.99968189;0.894668611
LGBM Subset;GridSearch LGBMRegressor;209.8326458;628.894331;0.985495778;0.888557158
LGBM;Partly Optimisation Python API;144.8119877;359.7027776;0.99164804;0.943288045
LGBM;Partly Optimisation LGBMRegressor;399.1272741;451.3114681;0.95424211;0.93404546
XGBoost;Base Scenario Python API;74.74991648;373.6725868;0.995945099;0.938652579
XGBoost;Base Scenario LGBMRegressor;216.4636239;374.3159358;0.986507488;0.943725337
XGBoost Subset;Base Scenario Python API;2.46307424;629.8556481;0.999916803;0.882123514
XGBoost Subset;Base Scenario LGBMRegressor;26.66629724;630.2648279;0.999801094;0.881995333
XGBoost Subset;Hyperopt Python API;7.554810338;604.6387736;0.999911502;0.892925528
XGBoost Subset;Hyperopt LGBMRegressor;47.70218602;608.6348557;0.999552359;0.892079277
XGBoost Subset;RandomSearch Python API;11.07921188;570.0898335;0.999886807;0.90646375
XGBoost Subset;RandomSearch LGBMRegressor;123.2634542;574.4825129;0.994748747;0.902564878
XGBoost Subset;GridSearch Python API;4.070932102;575.2717353;0.999915738;0.902109549
XGBoost Subset;GridSearch LGBMRegressor;47.69612856;575.723999;0.999243783;0.901351705
XGBoost;Partly Optimisation Python API;60.26186078;352.1858602;0.996136977;0.940192415
XGBoost;Partly Optimisation LGBMRegressor;220.3285428;356.2218908;0.981356951;0.941294538
Tensorflow;Basemodel;278.3053894;313.6964417;0.949034154;0.954565942
Tensorflow Subset;Basemodel subset;641.7651367;633.2435303;0.854368925;0.86470449
Tensorflow Subset;Hypertuned model subset;541.5097046;523.2578735;0.881765723;0.895138919
Tensorflow;Hypertuned model;256.8132324;298.9877014;0.951947033;0.957310081
