Params;MeanMAE;MeanR2
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'adam'};0.42364543605025917;-0.16352787174828073
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.8191211889321648;-0.005044012809843368
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8183215531265947;-0.004829349536213989
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.8172886405263095;-0.004822872466930495
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8151782826464128;-0.004760091383221354
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8151942210872264;-0.0045175444895097835
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.8163407957550552;-0.0044498972414027445
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.8166504592253847;-0.004420240869442571
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.8173917748727713;-0.004409025492014074
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.8171983965097309;-0.004309349492971482
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.8181030327483153;-0.004266725832498786
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.8166639213109856;-0.0041574463630406734
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'sgd'};0.8169452133505672;-0.00413747253862864
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'sgd'};0.8167120639742192;-0.0040477877552271835
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'sgd'};0.8163805320836636;-0.0040451703670694615
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.818494875889711;-0.0039707757424132465
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.8171099445212494;-0.0039541789150524306
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8164782795896569;-0.003907203654846203
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.8168897012672736;-0.0038815930218011998
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8163495230914073;-0.003787675786973388
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.817043652973999;-0.0037247077842781804
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.8163099875414073;-0.003572818247615528
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'sgd'};0.8203819746992561;-0.003300616137371781
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8158472280397652;-0.0031269768706104093
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.8166823362776418;-0.0030701379135578133
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.8138520060880806;-0.0029237017427928167
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'sgd'};0.8135641700586858;-0.0009864066956074113
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'adam'};0.31822704815269065;0.1299668527430758
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'sgd'};0.7081322528377798;0.17506386289019216
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'sgd'};0.6980321707893835;0.18006843861547212
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'adam'};0.502663023184585;0.3387863316634318
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.44103261055135146;0.3472138090433182
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.4073244623498103;0.38032225945575815
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'adam'};0.27273029502279134;0.3806210907618063
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.445489955719522;0.41163617295579985
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.40882515585936663;0.4312364969022996
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'adam'};0.2635727154525617;0.4834642597594834
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'sgd'};0.4678928334357554;0.5170307453487092
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'sgd'};0.3554431650478697;0.5224201269407929
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'adam'};0.26842766167079607;0.5327208706345619
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'sgd'};0.4427599169038993;0.5328651657649125
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.3581608663851889;0.5380601217629415
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'adam'};0.2655156652309351;0.5573594725308425
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.4005660764006853;0.5689128173204414
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'adam'};0.2633984736935641;0.5697515696487637
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.37259408721872384;0.5713252115924795
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.4007848897971341;0.5763248797654205
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.26501614578115185;0.5766812024468988
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'adam'};0.26107245875667806;0.5798244726284028
