Params;MeanMAE;MeanR2
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.4728922400527251;-0.2114049055487856
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.4480338420529287;0.007807813824922816
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.43048909869944707;0.04220046154831181
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.4089893157890449;0.08882703675484911
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.40432219627739585;0.08946789623883092
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.3775009153399992;0.18885568994076424
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.36715412712622303;0.25132903084011177
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.36476864122142544;0.2581248764669109
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.38354597006081875;0.27868484706208607
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.39145578506202794;0.3152721364726636
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.38599314251209244;0.3226553922536399
